ID,Call Failure,Complains,Charge Amount,Freq. of use,Distinct Called Numbers,Status,Age,Customer Value,Churn,Plan_pre-paid
3103,0,0,200,0,0,0,25,0.0,1,1
2231,8,0,20,107,28,1,55,150.78,1,1
2096,13,0,200,138,40,1,15,795.905,1,0
857,0,0,100,33,16,1,30,1195.52,1,1
531,0,0,100,22,6,1,30,57.8,1,1
1996,16,0,100,141,42,1,25,676.53,1,0
50,2,0,400,34,6,1,30,904.36,1,1
859,2,0,50,163,42,1,30,545.24,1,1
1073,29,1,200,55,23,0,30,187.8,0,1
720,4,0,400,132,41,1,25,2094.525,1,1
1826,0,0,100,17,16,1,30,98.08,1,1
1430,5,0,400,21,2,1,45,52.35,1,1
2370,1,0,400,119,38,1,25,2013.615,1,1
1449,5,0,100,36,25,1,30,969.24,1,1
1633,3,0,200,9,1,1,55,9.93,1,1
2244,7,0,100,71,29,1,30,234.24,1,1
2888,2,1,100,48,33,0,30,288.32,0,1
2744,0,0,100,16,5,1,25,30.42,1,1
1544,7,0,100,61,21,1,30,167.04,1,1
2167,0,0,50,12,7,0,25,36.315,1,1
1792,11,0,50,27,5,0,45,136.675,1,1
1393,19,0,200,48,30,1,25,309.51,1,1
2257,0,0,50,29,12,1,30,1165.16,1,1
2766,6,0,200,184,33,1,25,1392.48,1,1
1651,11,0,50,71,18,1,25,231.57,1,1
298,18,0,100,182,40,1,55,268.86,1,1
1327,12,1,50,39,13,0,30,154.16,0,1
1458,18,0,100,133,49,1,30,1118.72,1,1
959,15,0,100,178,48,1,30,620.64,1,1
1321,10,0,20,152,44,1,45,311.05,1,1
1609,10,0,50,174,43,1,30,562.48,1,1
1214,5,0,100,23,4,1,30,2026.52,1,1
350,0,0,400,29,10,1,30,908.36,1,1
2565,0,0,100,23,10,1,30,2059.72,1,1
644,0,0,100,49,20,1,30,118.76,1,1
1897,17,0,100,177,42,1,55,261.21,1,1
1284,32,1,100,252,87,1,25,837.54,1,0
670,0,0,400,127,42,1,30,1833.2,1,1
2537,3,0,100,50,24,0,45,220.75,1,1
1643,13,0,200,37,12,1,25,138.465,1,1
1955,3,0,50,58,33,1,15,145.805,1,1
2591,0,0,50,35,70,1,45,116.95,1,1
2499,0,0,100,30,23,1,30,928.8,1,1
1553,17,0,200,67,29,1,30,1620.6,1,1
1715,16,0,50,194,33,1,30,1299.36,1,1
787,0,0,100,27,18,0,30,51.08,1,1
2833,0,0,200,0,0,0,45,0.0,0,1
141,2,0,100,38,65,1,45,87.9,1,1
789,0,0,50,19,9,1,25,738.855,1,0
1726,8,0,100,34,17,1,45,116.975,1,1
2688,3,0,100,48,24,0,30,250.72,1,1
715,10,0,50,187,28,1,25,1402.965,1,1
1466,8,0,200,98,32,1,45,737.95,1,1
1718,9,0,100,26,11,0,30,153.64,1,1
1601,11,0,20,76,16,1,30,194.44,1,1
1627,12,0,100,46,15,0,30,154.04,0,1
619,0,0,100,0,0,0,25,0.0,0,1
407,11,0,50,82,28,1,30,282.28,1,1
1519,5,0,100,6,2,0,25,45.495,0,1
2017,3,0,100,17,13,1,25,65.34,1,1
2937,0,0,50,66,11,1,25,129.555,1,1
1269,7,0,100,14,7,0,25,103.455,0,1
1780,12,0,400,42,8,1,45,105.625,1,1
498,7,0,100,165,38,1,45,384.825,1,1
343,0,0,200,0,0,0,45,0.0,1,1
2879,8,1,100,48,44,0,30,296.44,0,1
2390,2,0,400,31,63,1,45,82.975,1,1
783,0,0,200,0,0,1,45,0.0,1,1
2291,6,0,50,15,1,0,25,20.475,1,1
304,4,0,100,49,24,1,25,1583.64,1,1
1952,0,0,100,5,4,0,25,46.035,1,1
665,6,0,100,182,29,1,25,1370.79,1,1
1814,3,0,100,22,10,1,30,1968.48,1,1
1624,24,0,100,98,41,1,55,159.72,1,1
2836,0,0,200,102,26,1,25,1434.69,1,0
1629,3,0,100,7,1,0,30,10.2,0,1
85,27,0,50,239,83,1,25,783.18,1,1
2333,2,0,200,12,7,1,55,30.45,1,1
942,5,0,50,16,5,0,45,98.65,1,1
962,17,0,50,63,21,1,45,116.65,1,1
842,0,0,100,4,1,0,45,48.1,1,1
3015,0,0,50,15,2,1,30,1883.6,1,1
2502,0,0,50,11,8,0,30,173.76,1,1
2651,0,0,50,11,1,1,25,50.13,0,1
1415,10,0,50,178,17,1,25,1303.56,1,1
291,10,0,50,50,68,1,45,153.2,1,1
2195,1,0,100,24,10,1,25,154.755,1,1
1242,5,0,100,6,2,0,45,40.275,1,1
605,0,0,100,46,30,1,15,117.37,1,1
2150,4,0,400,21,11,1,30,103.56,0,1
917,5,0,100,20,13,0,25,85.5,1,1
2622,1,0,50,146,41,1,30,449.04,1,1
1823,22,0,200,42,19,0,30,23.68,0,1
1100,9,1,400,27,13,1,30,144.0,0,1
1089,10,0,100,44,17,1,30,909.76,1,0
2214,9,0,100,37,14,1,30,2127.68,1,1
1442,5,0,100,6,2,0,45,25.275,1,1
822,3,0,50,69,35,1,25,746.19,1,1
2597,12,0,100,137,44,1,15,830.775,1,0
1001,10,0,20,74,17,1,30,215.56,1,1
1495,7,0,50,38,20,1,30,354.12,1,1
19,2,0,100,8,4,0,25,27.135,1,1
2975,16,0,50,93,44,1,55,194.07,1,0
1126,5,0,200,26,12,1,30,151.64,1,1
1352,9,0,100,21,21,0,30,189.76,1,1
2251,3,0,50,61,11,1,25,187.695,1,1
1396,25,0,200,157,59,1,25,843.975,1,0
1719,7,0,100,12,3,0,30,72.68,0,1
1594,9,0,100,68,28,1,30,247.52,1,1
1810,6,0,400,78,27,1,30,167.52,1,1
1658,16,0,100,121,44,1,30,953.64,1,1
2128,10,1,100,46,35,0,30,271.76,0,1
1518,7,0,100,14,6,0,25,72.63,1,1
1010,9,0,400,86,25,1,30,221.84,1,1
361,7,0,50,83,25,1,30,191.92,1,1
2690,4,0,400,40,15,1,25,963.45,1,0
2013,28,0,200,228,34,1,30,853.12,1,1
3019,0,0,100,2,2,0,25,13.14,1,1
1232,5,0,50,6,2,0,45,25.275,0,1
2506,11,0,100,88,32,1,30,415.12,1,1
1841,10,0,50,20,9,0,30,12.6,1,1
345,0,0,100,50,23,1,30,102.6,1,1
987,11,0,20,53,24,1,45,177.075,1,1
2026,4,0,200,25,16,1,30,137.0,1,1
1912,14,0,100,60,19,0,30,164.12,1,1
1476,6,0,200,34,20,1,45,179.85,1,1
1299,9,0,50,54,17,1,30,1129.16,1,1
114,23,0,100,224,29,1,30,786.96,1,1
1211,6,0,20,91,8,1,30,270.16,1,1
2023,26,1,200,50,19,1,30,126.6,0,1
1895,7,0,20,32,16,1,30,221.28,1,1
86,8,0,200,117,36,1,25,1587.24,1,0
2175,12,1,50,96,20,1,25,334.53,0,1
669,0,0,50,0,0,0,25,4.5,0,1
1015,11,0,100,185,30,1,25,1400.175,1,1
129,7,0,100,43,28,0,30,184.84,0,1
2498,4,0,100,35,4,1,30,131.52,1,1
2961,2,0,20,83,27,1,30,284.32,1,1
892,0,0,50,4,1,0,45,48.1,1,1
3045,0,0,20,49,17,1,30,114.16,1,1
308,0,0,100,28,18,1,30,1107.12,1,1
384,0,0,100,4,2,1,55,11.13,1,1
2044,5,0,100,64,25,1,30,185.96,1,1
1296,23,0,200,155,49,1,25,779.985,1,0
2067,0,0,100,11,9,0,25,37.17,1,1
427,1,0,50,22,14,1,30,114.48,1,1
495,0,0,100,55,21,1,30,123.0,1,1
1208,13,0,100,117,39,1,30,915.08,1,1
3024,18,0,100,35,11,0,25,25.65,0,1
1209,7,0,100,165,40,1,30,587.32,1,1
3119,0,0,100,7,3,0,25,9.99,1,1
2317,2,0,100,22,16,0,25,97.965,1,1
1400,12,1,400,35,24,1,30,209.12,0,1
1767,11,0,100,31,13,0,25,153.945,1,1
276,19,0,200,109,24,1,25,451.665,1,1
490,0,1,400,30,9,1,25,883.8,0,0
2667,3,0,50,90,30,1,30,1037.8,1,1
691,8,0,100,25,6,0,30,60.8,1,1
1798,19,0,100,62,21,1,30,341.16,1,1
1770,14,0,400,144,45,1,30,1942.68,1,1
2258,8,0,100,111,37,1,30,874.64,1,1
1331,6,0,50,95,19,1,55,120.075,1,1
3128,2,1,100,34,11,0,25,113.805,0,1
2868,0,0,100,18,24,0,25,116.46,1,1
1059,13,0,100,177,50,1,30,641.4,1,1
119,0,0,100,13,5,0,30,37.32,1,1
1025,15,0,50,101,24,1,25,403.38,1,1
2784,0,0,100,6,5,1,55,15.285,1,1
282,9,0,100,108,22,1,55,147.045,1,1
1672,11,0,50,75,38,1,25,800.91,1,1
2459,3,0,100,159,29,1,30,533.28,1,1
969,8,0,100,9,4,1,30,62.96,0,1
2064,1,0,100,24,6,1,30,2034.36,1,1
1919,5,0,100,6,2,0,25,45.495,0,1
1790,15,0,400,56,70,1,55,107.085,1,1
156,1,0,200,52,32,1,15,134.475,1,1
305,4,0,50,55,35,1,15,194.865,1,1
2054,7,0,100,63,33,1,15,231.055,1,1
2684,0,0,100,8,6,1,55,22.515,1,1
1690,7,0,400,39,69,1,45,120.3,1,1
2781,0,0,100,27,9,1,30,78.8,1,1
2360,5,0,400,75,20,1,30,176.4,1,1
1526,6,0,100,22,12,1,30,150.08,1,1
576,5,1,100,89,20,1,25,312.39,0,1
2065,6,0,100,179,28,1,25,1354.68,1,1
2705,0,0,100,50,27,1,15,202.565,1,1
2759,10,0,50,123,46,1,30,956.52,1,1
1584,32,0,100,245,85,1,25,828.675,1,0
1322,11,0,50,73,34,1,25,779.22,1,1
844,0,0,100,55,21,1,30,123.0,1,1
1407,5,0,50,35,5,1,30,1168.0,1,1
270,6,0,400,11,2,0,25,68.445,0,1
630,0,0,400,13,3,1,30,55.04,1,1
1034,27,0,100,241,80,1,25,776.745,1,1
287,8,0,50,93,28,1,30,220.84,1,1
2331,5,0,50,105,27,1,55,143.55,1,1
301,9,0,50,30,7,1,30,121.08,0,1
1510,12,0,400,83,23,1,30,219.52,1,1
2020,6,0,400,130,45,1,30,1863.92,1,1
1868,7,0,100,20,10,0,30,121.4,1,1
1468,7,0,100,26,14,0,30,254.24,1,1
66,11,0,200,183,33,1,25,1429.11,1,1
2340,6,0,400,47,73,1,45,147.375,1,1
891,6,0,20,19,5,0,25,32.13,1,1
1879,5,0,100,8,4,0,30,45.84,0,1
1972,8,0,100,75,37,1,25,791.685,1,1
2657,11,0,100,86,32,1,30,312.64,1,1
2976,8,1,200,98,26,1,25,487.17,0,1
231,3,0,20,31,7,1,45,62.475,1,1
504,8,0,100,57,24,1,25,1708.425,1,1
1353,19,0,200,76,41,1,30,1685.36,1,1
1511,11,0,20,95,10,1,25,310.635,1,1
1613,28,0,200,230,31,1,30,827.4,1,1
1375,22,0,50,114,41,1,30,489.48,1,1
1005,5,0,50,61,33,1,25,152.955,1,1
837,0,0,20,38,18,0,30,179.92,1,1
1724,28,0,100,105,45,1,55,186.675,1,0
375,21,1,50,93,42,1,55,159.42,1,1
1399,11,0,100,56,27,1,30,1186.04,1,0
2226,6,0,100,32,20,1,30,185.28,1,1
1993,10,0,200,32,13,1,25,142.065,1,1
2012,12,0,100,57,19,1,30,146.2,1,1
3031,0,0,50,13,3,1,30,50.44,1,1
752,0,0,100,0,0,0,25,0.0,1,1
100,4,0,400,41,13,1,30,1080.84,1,1
1923,28,1,200,53,19,0,30,144.52,0,1
867,0,0,100,8,9,0,25,26.01,1,1
911,11,0,100,101,14,1,30,308.96,1,1
1477,14,0,100,53,22,0,30,330.52,0,1
530,0,0,400,0,0,1,30,0.0,0,1
1261,13,0,50,109,19,1,30,360.48,1,1
1832,0,0,50,2,6,0,45,5.625,0,1
637,0,0,20,32,17,0,30,147.68,1,1
1270,10,0,400,141,50,1,30,1933.36,1,1
186,4,0,200,110,32,1,25,1501.875,1,0
1382,9,0,100,23,21,0,45,131.4,0,1
1568,9,0,100,21,13,0,30,165.04,1,1
932,5,0,50,13,6,0,45,63.65,0,1
2877,0,0,50,26,27,1,30,182.44,1,1
2419,4,0,100,10,15,0,25,121.95,0,1
1559,14,0,100,176,49,1,30,641.76,1,1
2810,0,0,400,155,37,1,30,537.72,1,1
1274,28,0,100,107,49,1,55,193.905,1,0
2180,0,0,400,23,2,1,30,64.44,1,1
608,6,0,100,109,40,1,30,872.76,1,1
1503,15,0,200,60,22,1,25,1624.635,1,1
152,6,0,50,65,16,1,25,199.575,1,1
1437,5,0,100,40,7,0,30,152.4,1,1
2260,2,0,400,73,19,1,30,173.12,1,1
732,1,0,50,12,2,0,45,51.125,0,1
2857,10,0,100,86,41,1,30,350.24,1,1
3109,6,0,100,114,38,1,30,861.36,1,1
2869,1,0,100,18,21,0,25,167.535,1,1
24,23,0,100,41,13,0,25,39.645,0,1
2627,0,0,50,14,8,1,30,98.76,1,1
159,11,0,50,115,42,1,30,913.2,1,1
862,4,0,100,48,15,0,30,83.24,1,1
903,15,0,200,66,26,1,30,1576.96,1,1
2981,0,0,100,25,8,1,45,100.075,1,1
1231,5,0,50,93,18,1,55,114.345,1,1
2377,7,0,50,33,11,0,30,113.72,0,1
445,2,0,50,61,23,1,30,163.44,1,1
3084,0,0,100,0,0,1,55,9.0,1,1
755,0,0,20,41,31,1,15,78.045,1,1
924,26,0,100,99,44,1,55,174.585,1,1
3120,0,0,400,0,0,0,25,0.0,0,1
2988,0,0,100,44,22,0,30,312.76,1,1
312,0,0,50,84,12,1,25,238.14,1,1
549,6,0,100,42,19,1,30,222.0,1,1
2105,4,0,50,60,37,1,25,167.985,1,1
1625,16,0,50,103,23,1,25,379.62,1,1
307,5,0,100,71,28,1,30,153.44,1,1
288,9,0,100,55,20,0,30,281.2,1,1
695,0,0,50,26,13,1,25,194.22,1,1
309,7,0,100,110,43,1,30,816.6,1,1
2444,6,0,100,71,38,1,30,271.84,1,1
750,4,0,400,24,5,1,30,80.64,0,1
1602,3,0,100,10,3,0,30,37.72,1,1
3097,13,0,100,136,43,1,15,831.215,1,0
1691,14,0,20,25,8,0,25,86.85,1,1
1577,16,1,50,48,21,0,30,241.32,0,1
909,12,0,50,175,46,1,30,598.12,1,1
87,4,0,100,83,31,1,25,229.095,1,1
2504,10,0,100,72,39,1,15,422.675,1,1
2958,0,0,100,39,20,1,30,1328.36,1,1
2624,17,0,100,39,11,0,25,27.405,0,1
971,15,0,50,163,51,1,45,357.325,1,1
14,25,0,100,219,28,1,30,697.76,1,1
874,16,0,100,87,40,1,45,255.425,1,1
809,2,0,100,163,42,1,30,545.24,1,1
2711,0,0,50,67,17,1,30,160.68,1,1
515,2,0,100,24,8,1,30,2038.96,1,1
2779,6,1,100,46,34,0,30,239.56,0,1
410,7,0,400,169,44,1,30,557.68,1,1
2010,10,0,400,86,27,1,30,214.44,1,1
1338,9,0,100,51,20,1,25,902.52,1,1
2383,0,0,200,0,0,1,55,0.0,1,1
1462,14,1,100,66,23,0,45,185.6,1,1
1371,16,0,20,170,64,1,45,411.0,1,1
2807,4,0,100,68,21,1,25,214.11,1,1
1585,13,0,50,123,38,1,30,1451.32,1,0
383,0,0,200,7,4,0,45,38.375,0,1
2016,6,0,100,89,28,1,30,1029.96,1,1
2663,9,1,200,58,21,0,30,154.04,1,1
2496,12,0,200,131,27,1,15,677.82,1,0
2462,5,0,50,44,2,0,30,67.28,1,1
1848,7,0,100,40,21,1,30,151.48,1,1
2059,4,0,50,166,42,1,30,555.16,1,1
2629,3,0,100,36,25,0,30,144.76,0,1
553,0,0,200,0,0,0,25,0.0,1,1
223,10,0,200,81,38,1,25,827.955,1,1
1097,18,0,50,179,46,1,55,277.455,1,1
3021,0,0,50,115,37,1,25,1876.635,1,1
9,13,0,100,115,39,1,30,812.6,1,1
2863,8,0,200,58,30,0,30,191.64,1,1
317,0,0,100,75,26,1,30,878.6,1,1
1329,5,1,100,6,2,0,30,40.44,0,1
428,9,0,100,41,16,0,30,157.24,0,1
1492,5,0,50,22,9,0,45,181.675,1,1
106,1,0,100,57,30,1,15,124.3,1,1
2241,16,0,20,35,13,0,30,139.8,1,1
143,0,0,200,9,1,0,45,46.1,1,1
122,5,0,50,153,44,1,45,290.7,1,1
2495,0,0,100,16,6,1,25,81.495,1,1
3009,8,0,100,109,37,1,30,772.16,1,1
1190,14,0,400,55,76,1,55,110.82,1,1
2081,0,0,20,94,20,1,45,192.975,1,1
2783,0,1,200,9,7,0,45,45.3,0,1
3008,0,0,100,27,12,1,30,1062.68,1,1
116,7,0,200,181,27,1,25,1330.92,1,1
1570,10,0,400,134,48,1,30,1925.48,1,1
2269,0,0,50,0,0,0,25,0.0,0,1
2261,1,0,20,85,6,1,25,258.435,1,1
3003,0,0,200,0,0,0,25,0.0,1,1
3096,0,0,200,21,15,1,25,207.045,1,1
1784,36,0,100,255,82,1,25,848.025,1,0
2004,13,0,100,69,37,1,15,270.985,1,1
673,20,0,200,47,16,0,30,95.88,0,1
1727,16,1,100,53,19,0,30,229.92,0,1
1819,0,0,100,0,0,0,25,0.0,0,1
2186,1,0,200,80,24,1,25,167.31,1,1
592,3,0,50,16,3,0,25,15.795,1,1
2187,2,0,100,42,16,0,30,177.08,1,1
889,0,0,50,30,9,1,25,883.8,1,0
1958,13,0,100,121,43,1,30,945.44,1,1
2292,0,0,100,0,0,0,45,15.0,1,1
2058,10,0,100,118,41,1,30,922.92,1,1
214,27,0,100,231,33,1,30,862.84,1,1
779,0,1,100,0,0,0,25,0.0,0,1
1863,30,0,200,231,34,1,30,871.04,1,1
801,3,0,100,65,15,1,25,185.85,1,1
2610,1,0,400,161,38,1,30,541.96,1,1
1615,12,0,100,187,29,1,25,1376.415,1,1
1703,17,0,200,72,27,1,30,1609.2,1,1
2407,8,0,50,49,33,1,30,1344.36,1,1
2915,0,0,50,11,5,1,30,1908.04,1,1
2986,1,0,200,116,35,1,25,1642.095,1,0
2851,0,0,20,5,4,1,25,45.36,0,1
1344,5,0,100,59,20,1,30,164.36,1,1
274,29,1,100,58,17,0,30,164.92,0,1
72,9,0,100,155,50,1,45,345.25,1,1
2534,25,0,100,244,84,1,25,883.53,1,0
1088,12,0,100,61,29,1,25,1009.17,1,1
395,2,0,100,61,23,1,30,163.44,1,1
584,0,0,100,0,0,1,45,0.0,1,1
1704,17,0,100,78,38,1,15,339.955,1,1
2124,22,1,100,95,46,1,55,175.65,1,1
2130,2,0,400,27,10,1,45,69.375,1,1
501,0,1,20,13,5,0,25,53.82,0,1
2894,9,0,100,36,26,1,25,218.52,1,1
2343,12,0,200,40,18,1,25,200.025,1,1
3129,2,0,100,37,26,0,30,144.4,0,1
2881,0,0,50,29,19,1,30,135.68,1,1
1652,3,0,100,5,5,0,25,55.26,1,1
1260,14,0,400,97,32,1,30,283.88,1,1
2909,4,0,50,105,26,1,30,796.6,1,1
2242,5,0,100,20,9,0,45,117.625,1,1
206,5,0,200,64,34,1,25,155.565,1,1
734,26,0,100,243,78,1,25,757.035,1,1
2514,4,0,100,33,12,1,45,1368.575,1,1
527,0,0,50,19,14,1,30,104.56,1,1
1917,5,0,50,20,13,0,25,85.5,1,1
899,0,0,100,34,8,1,30,996.76,1,1
378,9,1,100,41,16,0,30,157.24,0,1
1926,6,0,100,28,16,1,30,154.92,1,1
2820,0,0,400,0,0,0,25,0.0,0,1
1612,12,1,50,59,16,0,30,120.48,1,1
387,2,0,100,82,28,1,25,180.0,1,1
199,6,0,100,39,18,1,30,207.64,1,1
1051,14,0,20,79,23,1,30,281.36,1,1
591,0,0,100,30,64,1,45,75.825,1,1
520,0,0,400,0,0,1,25,0.0,0,1
2132,1,1,50,9,8,0,45,65.425,0,1
2747,6,0,50,125,34,1,15,673.915,1,0
430,0,0,400,2,2,0,30,5.4,0,1
1084,31,0,100,246,86,1,25,828.27,1,1
208,6,0,100,45,19,1,45,792.625,1,1
492,6,0,100,19,5,0,25,32.13,1,1
2104,11,0,100,68,39,1,15,299.53,1,1
3057,8,0,50,77,29,1,25,321.165,1,1
793,0,0,200,15,11,1,25,10.125,1,1
2623,2,0,200,67,31,1,25,697.5,1,1
1187,13,0,100,60,28,0,45,207.25,1,1
1186,12,0,100,98,36,1,30,271.24,1,1
1965,9,0,50,182,30,1,25,1380.015,1,1
1816,2,0,100,81,28,1,30,919.04,1,1
2352,0,0,100,0,0,0,25,0.0,1,1
1411,7,0,20,91,17,1,30,256.56,1,1
84,2,0,100,5,5,1,55,27.495,1,1
2554,6,0,100,56,26,1,25,1731.78,1,1
2346,18,0,100,149,47,1,25,734.49,1,0
21,3,0,20,121,39,1,25,1922.13,1,1
1539,9,0,100,36,9,1,25,825.345,1,0
1707,11,0,100,51,21,1,45,817.9,1,1
1745,9,0,50,38,17,1,30,253.52,1,1
1406,12,0,200,78,15,1,30,214.32,1,1
2867,2,0,100,90,39,1,30,1075.4,1,1
3140,0,0,400,29,6,1,25,834.705,1,0
2832,0,0,50,83,15,1,45,159.575,1,1
2883,0,0,200,11,17,0,45,80.85,0,1
974,29,1,100,102,46,1,55,183.03,1,0
2932,0,0,50,81,5,1,45,149.025,1,1
884,20,0,100,232,78,1,25,720.09,1,1
1099,8,0,100,48,16,1,30,1120.92,1,1
157,9,0,20,76,27,1,25,281.295,1,1
2400,1,0,400,11,2,1,30,52.76,0,1
887,0,0,50,38,18,0,30,179.92,1,1
3149,1,0,100,38,14,1,30,155.8,1,1
1779,11,0,100,19,4,0,30,106.68,0,1
2608,0,0,100,31,12,1,30,1152.24,1,1
1673,26,1,200,47,18,0,25,126.315,0,1
2666,9,0,100,186,34,1,25,1414.17,1,1
2487,0,0,50,34,5,0,30,111.96,1,1
2977,0,0,50,22,16,1,30,206.88,1,1
1454,15,0,100,78,41,1,15,478.28,1,1
2786,3,0,100,118,36,1,25,1550.61,1,0
459,8,0,50,115,41,1,30,905.0,1,1
3048,7,0,100,159,34,1,45,301.8,1,1
