ID,Call Failure,Complains,Charge Amount,Freq. of use,Freq. of SMS,Distinct Called Numbers,Age Group,Plan,Status,Age,Customer Value,Churn
189,4,no,100,47,167,22,2,pre-paid,active,25,878.715,yes
190,2,no,400,30,185,10,2,post-paid,active,25,893.025,yes
191,2,no,50,33,22,67,4,pre-paid,active,45,95.025,yes
192,9,no,50,19,2,6,2,pre-paid,not-active,25,41.355,yes
193,0,no,200,4,13,2,4,pre-paid,not-active,45,53.225,yes
194,8,no,100,26,11,12,2,pre-paid,active,25,105.795,yes
195,0,no,50,55,0,22,3,pre-paid,active,30,131.2,yes
196,0,no,200,20,20,13,2,pre-paid,active,25,167.175,yes
197,14,no,20,135,77,41,1,post-paid,active,15,782.485,yes
198,10,no,100,165,65,39,4,pre-paid,active,45,389.925,yes
199,6,no,100,39,23,18,3,pre-paid,active,30,207.64,yes
200,0,no,400,34,207,9,3,pre-paid,active,30,1004.96,yes
201,1,no,20,13,0,6,2,pre-paid,active,25,67.5,no
202,10,no,100,77,13,18,3,pre-paid,active,30,229.88,yes
203,2,no,200,11,15,5,3,pre-paid,not-active,30,73.16,yes
204,12,no,100,66,367,25,3,pre-paid,active,30,1568.76,yes
205,12,no,20,72,9,36,1,pre-paid,active,15,284.35,yes
206,5,no,200,64,10,34,2,pre-paid,active,25,155.565,yes
207,13,no,50,88,40,29,3,pre-paid,active,30,314.52,yes
208,6,no,100,45,293,19,4,pre-paid,active,45,792.625,yes
209,15,no,100,127,152,44,3,pre-paid,active,30,977.68,yes
210,9,no,400,175,8,45,3,pre-paid,active,30,589.92,yes
211,9,no,50,89,10,26,3,pre-paid,active,30,224.16,yes
212,8,no,100,101,15,13,3,pre-paid,active,30,300.76,yes
213,11,yes,200,60,16,18,3,pre-paid,not-active,30,155.92,yes
214,27,no,100,231,62,33,3,pre-paid,active,30,862.84,yes
215,6,no,50,33,491,9,4,pre-paid,active,45,1305.7,yes
216,11,no,200,188,158,31,2,pre-paid,active,25,1416.285,yes
217,5,no,100,92,194,27,3,pre-paid,active,30,1039.68,yes
218,2,no,100,20,8,12,2,pre-paid,not-active,25,76.275,yes
219,4,no,100,20,21,9,3,pre-paid,not-active,30,113.2,yes
220,0,no,400,0,8,0,2,pre-paid,not-active,25,36,no
221,5,no,20,133,392,44,3,pre-paid,active,30,1873.64,yes
222,9,no,50,160,19,48,4,pre-paid,active,45,338.125,yes
223,10,no,200,81,116,38,2,pre-paid,active,25,827.955,yes
224,25,yes,100,53,24,18,3,pre-paid,not-active,30,136.32,no
225,23,no,100,99,9,43,5,post-paid,active,55,171.51,yes
226,15,no,100,104,34,25,3,pre-paid,active,30,372.88,yes
227,3,no,50,28,8,15,3,pre-paid,active,30,146.72,yes
228,11,no,100,47,17,17,3,pre-paid,not-active,30,189.48,no
229,11,yes,100,50,42,32,4,pre-paid,not-active,45,162.95,no
230,2,no,400,8,8,3,3,pre-paid,not-active,30,37.64,no
231,3,no,20,31,8,7,4,pre-paid,active,45,62.475,yes
232,5,no,50,103,22,23,5,pre-paid,active,55,136.32,yes
233,2,no,200,13,17,5,4,pre-paid,not-active,45,58.525,no
234,2,no,100,10,12,3,5,pre-paid,active,55,23.22,yes
235,27,no,20,244,8,81,2,pre-paid,active,25,770.355,yes
236,8,no,100,122,279,34,3,post-paid,active,30,1399.48,yes
237,4,no,100,88,10,29,3,pre-paid,active,30,192.24,yes
238,5,no,100,50,46,21,4,pre-paid,not-active,45,157.875,yes
239,8,no,50,59,183,24,2,pre-paid,active,25,951.255,yes
240,6,yes,400,42,201,12,3,post-paid,active,30,858.28,no
241,6,no,50,45,38,69,5,pre-paid,active,55,81.195,yes
242,13,no,50,31,18,8,3,pre-paid,not-active,30,101.24,yes
243,2,no,200,16,29,4,4,pre-paid,not-active,45,93.525,yes
244,12,no,100,38,27,14,2,pre-paid,active,25,178.335,yes
245,4,no,100,67,16,24,3,pre-paid,active,30,195.68,yes
246,4,no,200,32,36,15,3,pre-paid,active,30,213.08,yes
247,18,no,50,147,93,43,2,post-paid,active,25,712.755,yes
248,14,no,100,177,81,41,5,pre-paid,active,55,258.135,yes
249,10,no,100,51,39,20,3,pre-paid,active,30,272.12,yes
250,4,no,400,46,223,11,3,pre-paid,active,30,1069.44,yes
251,5,yes,50,25,8,8,3,pre-paid,active,30,92.48,no
252,14,no,100,82,30,17,3,pre-paid,active,30,326.48,yes
253,6,no,200,16,15,4,3,pre-paid,not-active,30,101.76,yes
254,16,no,100,71,367,24,3,pre-paid,active,30,1597.36,yes
255,16,no,20,77,9,35,1,pre-paid,active,15,323.675,yes
256,9,no,100,69,10,33,2,pre-paid,active,25,187.74,yes
257,17,no,20,93,40,28,3,pre-paid,active,30,343.12,yes
258,10,no,100,50,293,18,3,pre-paid,active,30,1296.8,yes
259,19,no,100,132,152,43,3,pre-paid,active,30,1006.28,yes
260,13,no,400,180,8,44,3,pre-paid,active,30,618.52,yes
261,13,no,100,94,10,25,3,pre-paid,active,30,252.76,yes
262,12,no,50,106,15,12,3,pre-paid,active,30,329.36,yes
263,15,no,200,65,16,17,3,pre-paid,not-active,30,184.52,yes
264,31,yes,100,236,62,32,3,pre-paid,active,30,891.44,yes
265,10,no,20,38,491,8,3,pre-paid,active,30,2117.72,yes
266,15,no,100,193,158,30,2,pre-paid,active,25,1448.46,yes
267,9,no,100,97,194,26,3,pre-paid,active,30,1068.28,yes
268,6,no,100,25,8,11,2,pre-paid,not-active,25,108.45,yes
269,8,no,50,25,21,8,3,pre-paid,not-active,30,141.8,yes
270,6,no,400,11,8,2,2,pre-paid,not-active,25,68.445,no
271,9,no,50,138,392,43,3,pre-paid,active,30,1902.24,yes
272,13,no,50,165,19,47,4,pre-paid,active,45,356,yes
273,14,no,200,86,116,37,2,pre-paid,active,25,860.13,yes
274,29,yes,100,58,24,17,3,pre-paid,not-active,30,164.92,no
275,27,no,50,104,9,42,5,post-paid,active,55,182.235,yes
276,19,no,200,109,34,24,2,pre-paid,active,25,451.665,yes
277,7,no,100,33,8,14,3,pre-paid,active,30,175.32,yes
278,15,yes,100,52,17,16,3,pre-paid,not-active,30,218.08,no
279,15,yes,50,55,42,31,3,pre-paid,not-active,30,289.32,no
280,6,no,400,13,8,2,3,pre-paid,not-active,30,66.24,no
281,7,no,20,36,8,6,4,pre-paid,active,45,80.35,yes
282,9,no,100,108,22,22,5,pre-paid,active,55,147.045,yes
283,6,yes,200,18,17,4,4,pre-paid,not-active,45,76.4,no
284,6,no,100,15,12,2,5,pre-paid,active,55,33.945,yes
285,31,yes,20,249,8,80,2,pre-paid,active,25,802.53,yes
286,12,yes,100,127,279,33,3,post-paid,active,30,1428.08,yes
287,8,no,50,93,10,28,3,pre-paid,active,30,220.84,yes
288,9,no,100,55,46,20,3,pre-paid,not-active,30,281.2,yes
289,12,no,100,64,183,23,2,pre-paid,active,25,983.43,yes
290,10,no,400,47,201,11,3,post-paid,active,30,886.88,yes
291,10,no,50,50,38,68,4,pre-paid,active,45,153.2,yes
292,17,no,100,36,18,7,3,pre-paid,not-active,30,129.84,yes
293,6,no,200,21,29,3,4,pre-paid,not-active,45,111.4,yes
294,16,no,100,43,27,13,2,pre-paid,active,25,210.51,yes
295,8,no,50,72,16,23,3,pre-paid,active,30,224.28,yes
296,8,no,100,37,36,14,2,pre-paid,active,25,271.89,yes
297,22,no,50,152,93,42,2,post-paid,active,25,744.93,yes
298,18,no,100,182,81,40,5,pre-paid,active,55,268.86,yes
299,14,no,100,56,39,19,3,post-paid,active,30,300.72,yes
300,8,no,400,51,223,10,3,pre-paid,active,30,1098.04,yes
301,9,no,50,30,8,7,3,pre-paid,active,30,121.08,no
302,2,no,100,60,0,17,2,pre-paid,active,25,167.4,yes
303,0,no,200,0,0,0,2,pre-paid,not-active,25,0,yes
304,4,no,100,49,334,24,2,pre-paid,active,25,1583.64,yes
305,4,no,50,55,0,35,1,pre-paid,active,15,194.865,yes
306,0,no,200,47,0,33,1,pre-paid,active,15,95.15,yes
307,5,no,100,71,7,28,3,pre-paid,active,30,153.44,yes
308,0,no,100,28,260,18,3,pre-paid,active,30,1107.12,yes
309,7,no,100,110,119,43,3,pre-paid,active,30,816.6,yes
310,1,no,400,158,0,44,3,pre-paid,active,30,528.84,yes
311,1,no,100,72,0,25,3,pre-paid,active,30,155.08,yes
312,0,no,50,84,0,12,2,pre-paid,active,25,238.14,yes
313,3,no,200,43,0,17,3,pre-paid,not-active,30,62.84,yes
314,19,no,100,214,29,32,3,pre-paid,active,30,701.76,yes
315,0,no,50,16,458,8,3,pre-paid,active,30,1928.04,yes
316,3,no,100,171,125,30,2,pre-paid,active,25,1235.07,yes
317,0,no,100,75,161,26,3,pre-paid,active,30,878.6,yes
318,0,no,100,3,0,11,2,pre-paid,not-active,25,7.56,yes
319,0,no,100,0,0,0,2,pre-paid,not-active,25,0,yes
320,0,no,400,0,0,0,2,pre-paid,not-active,25,0,no
321,0,no,20,116,359,43,2,pre-paid,active,25,1926.63,yes
322,1,no,50,143,0,47,3,pre-paid,active,30,435.92,yes
323,2,no,200,64,83,37,2,pre-paid,active,25,646.74,yes
324,17,no,100,36,0,17,2,pre-paid,not-active,25,12.645,no
325,15,no,100,82,0,42,4,pre-paid,active,45,245.175,yes
326,7,no,200,87,1,24,2,pre-paid,active,25,238.275,no
327,0,no,50,11,0,14,3,pre-paid,active,30,85.64,yes
328,3,yes,100,30,0,16,2,pre-paid,not-active,25,103.95,no
329,3,no,100,33,9,31,3,pre-paid,not-active,30,99.64,no
330,0,no,400,0,0,0,3,pre-paid,not-active,30,0,no
331,0,no,50,14,0,6,3,pre-paid,active,30,38.88,yes
332,0,no,50,86,0,22,4,pre-paid,active,45,154.025,yes
333,0,no,200,0,0,0,4,pre-paid,not-active,45,0,no
334,0,no,100,0,0,0,5,pre-paid,active,55,0,yes
335,19,no,20,227,0,80,2,pre-paid,active,25,701.64,yes
336,0,no,100,105,246,33,2,post-paid,active,25,1393.2,yes
337,0,no,100,71,0,28,2,pre-paid,active,25,138.555,yes
338,0,no,100,33,13,20,3,pre-paid,not-active,30,91.52,yes
339,0,no,100,42,150,23,2,pre-paid,active,25,770.04,yes
340,0,no,400,25,168,11,2,post-paid,active,25,784.35,yes
341,0,no,20,28,5,68,4,pre-paid,active,45,34.65,yes
342,0,no,50,0,0,0,2,pre-paid,not-active,25,0,yes
343,0,no,200,0,0,0,4,pre-paid,not-active,45,0,yes
344,4,no,100,21,0,13,2,pre-paid,active,25,24.12,yes
345,0,no,100,50,0,23,3,pre-paid,active,30,102.6,yes
346,0,no,200,15,3,14,2,pre-paid,active,25,58.5,yes
347,10,no,100,130,60,42,1,post-paid,active,15,649.66,yes
348,6,no,100,160,48,40,4,pre-paid,active,45,329.55,yes
349,2,no,100,34,6,19,3,pre-paid,active,30,111.04,yes
350,0,no,400,29,190,10,3,pre-paid,active,30,908.36,yes
351,0,no,50,8,0,7,3,pre-paid,active,30,31.4,no
352,8,no,100,71,5,17,3,pre-paid,active,30,197.64,yes
353,0,no,200,5,7,4,2,pre-paid,not-active,25,46.035,yes
354,10,no,100,60,359,24,3,pre-paid,active,30,1536.52,yes
355,10,no,50,66,1,35,1,pre-paid,active,15,240.02,yes
356,3,no,100,58,2,33,1,pre-paid,active,15,145.805,yes
357,11,no,50,82,32,28,3,pre-paid,active,30,282.28,yes
358,4,no,100,39,285,18,3,pre-paid,active,30,1235.96,yes
359,13,no,100,121,144,43,3,pre-paid,active,30,945.44,yes
360,7,no,400,169,0,44,3,pre-paid,active,30,557.68,yes
361,7,no,50,83,2,25,3,pre-paid,active,30,191.92,yes
362,6,no,100,95,7,12,3,pre-paid,active,30,268.52,yes
363,9,yes,200,54,8,17,3,pre-paid,not-active,30,123.68,yes
364,25,no,100,225,54,32,3,pre-paid,active,30,830.6,yes
365,4,no,20,27,483,8,3,pre-paid,active,30,2056.88,yes
366,9,no,100,182,150,30,2,pre-paid,active,25,1380.015,yes
367,3,no,100,86,186,26,3,pre-paid,active,30,1007.44,yes
368,0,no,100,14,0,11,2,pre-paid,not-active,25,40.005,yes
369,2,no,100,14,13,8,3,pre-paid,not-active,30,80.96,yes
370,0,no,400,0,0,0,2,pre-paid,not-active,25,0,no
371,3,no,20,127,384,43,2,pre-paid,active,25,2071.575,yes
372,7,no,100,154,11,47,4,pre-paid,active,45,317.975,yes
373,8,no,200,75,108,37,2,pre-paid,active,25,791.685,yes
374,23,no,100,47,16,17,2,pre-paid,not-active,25,117.09,no
375,21,yes,50,93,1,42,5,pre-paid,active,55,159.42,yes
376,13,no,200,98,26,24,2,pre-paid,active,25,383.22,no
377,1,no,50,22,0,14,3,pre-paid,active,30,114.48,yes
378,9,yes,100,41,9,16,3,pre-paid,not-active,30,157.24,no
379,9,no,100,44,34,31,3,pre-paid,not-active,30,228.48,no
380,0,no,400,2,0,2,3,pre-paid,not-active,30,5.4,no
381,1,no,50,25,0,6,3,pre-paid,active,30,67.72,yes
382,3,no,100,97,14,22,5,pre-paid,active,55,124.23,yes
383,0,no,200,7,9,4,4,pre-paid,not-active,45,38.375,no
384,0,no,100,4,4,2,5,pre-paid,active,55,11.13,yes
385,25,no,50,238,0,80,2,pre-paid,active,25,734.085,yes
386,6,no,200,116,271,33,2,post-paid,active,25,1538.145,yes
387,2,no,100,82,2,28,2,pre-paid,active,25,180,yes
388,3,no,100,44,38,20,3,pre-paid,not-active,30,220.36,yes
389,6,no,50,53,175,23,2,pre-paid,active,25,914.985,yes
390,4,yes,400,36,193,11,2,post-paid,active,25,929.295,no
391,4,no,50,39,30,68,4,pre-paid,active,45,115.175,yes
392,11,no,50,25,10,7,2,pre-paid,not-active,25,77.625,yes
393,0,no,200,10,21,3,4,pre-paid,not-active,45,73.375,yes
394,10,no,100,32,19,13,2,pre-paid,active,25,142.065,yes
395,2,no,100,61,8,23,3,pre-paid,active,30,163.44,yes
396,2,no,100,26,28,14,2,pre-paid,active,25,203.445,yes
397,16,no,50,141,85,42,2,post-paid,active,25,676.485,yes
398,12,no,100,171,73,40,4,pre-paid,active,45,410.075,yes
399,8,no,100,45,31,19,3,pre-paid,active,30,239.88,yes
400,2,no,400,40,215,10,3,pre-paid,active,30,1037.2,yes
401,3,no,20,19,0,7,3,pre-paid,active,30,60.24,no
402,8,no,50,71,5,17,3,pre-paid,active,30,197.64,yes
403,0,no,200,5,7,4,2,pre-paid,not-active,25,46.035,yes
404,10,no,100,60,359,24,3,pre-paid,active,30,1536.52,yes
405,10,no,20,66,1,35,1,pre-paid,active,15,240.02,yes
406,3,no,200,58,2,33,1,pre-paid,active,15,145.805,yes
407,11,no,50,82,32,28,3,pre-paid,active,30,282.28,yes
408,4,no,100,39,285,18,3,pre-paid,active,30,1235.96,yes
409,13,no,100,121,144,43,3,pre-paid,active,30,945.44,yes
410,7,no,400,169,0,44,3,pre-paid,active,30,557.68,yes
411,7,no,50,83,2,25,3,pre-paid,active,30,191.92,yes
412,6,no,100,95,7,12,3,pre-paid,active,30,268.52,yes
413,9,yes,200,54,8,17,3,pre-paid,not-active,30,123.68,yes
414,25,no,100,225,54,32,3,pre-paid,active,30,830.6,yes
